"merge","id","id_str","name","screen_name","location","description","url","followers_count","friends_count","created_at","time_zone","lang","party"
"senatorbarb",132278386,132278386,"Barbara Mikulski","SenatorBarb","Baltimore, MD/Washington DC","U.S. Senator for Maryland","http://t.co/fzmg1jqrSU",32560,8,"Mon Apr 12 20:06:38 +0000 2010","Quito","en","D"
"senatorbegich",83901492,83901492,"Senator Mark Begich","SenatorBegich","Alaska / Washington","United States Senator from Alaska. Retweets, replies & follows ≠ endorsement","http://t.co/FVyveyQfAa",20684,491,"Tue Oct 20 18:47:19 +0000 2009","Eastern Time (US & Canada)","en","D"
"senatorboxer",15442036,15442036,"Sen. Barbara Boxer","SenatorBoxer","Washington, D.C.","U.S. Senator Barbara Boxer of California.","http://t.co/So19MhgjTh",52582,111,"Tue Jul 15 16:02:13 +0000 2008","Eastern Time (US & Canada)","en","D"
"senatorburr",21157904,21157904,"Richard Burr","SenatorBurr","Winston-Salem, NC","U.S. Senator from North Carolina","http://t.co/MHZvAsvWrN",29047,3364,"Wed Feb 18 01:53:03 +0000 2009","Quito","en","R"
"senatorcardin",109071031,109071031,"Senator Ben Cardin","SenatorCardin","Maryland/Washington, DC","Updates from the Office of U.S. Senator Ben Cardin - Maryland","http://t.co/AY883g6JXd",26156,245,"Wed Jan 27 22:03:53 +0000 2010","Eastern Time (US & Canada)","en","D"
"senatorcarper",249787913,249787913,"Senator Tom Carper","SenatorCarper","Delaware","U.S. Senator for Delaware | Chairman of @SenateHSGAC","http://t.co/0KSoFFra6j",13263,496,"Wed Feb 09 19:46:42 +0000 2011","Eastern Time (US & Canada)","en","D"
"senatorcollins",19726613,19726613,"SenatorSusanCollins","SenatorCollins","Maine","United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.","http://t.co/GC3gCGTqQX",33117,879,"Thu Jan 29 18:56:59 +0000 2009","Eastern Time (US & Canada)","en","R"
"senatordurbin",247334603,247334603,"Senator Dick Durbin","SenatorDurbin","","Official page of Senator Dick Durbin. Following/retweeting does not equal an endorsement. Read my social media policy here: http://t.co/abdv3cQB","http://t.co/RrpApq5oN1",49553,1593,"Fri Feb 04 15:50:42 +0000 2011","Central Time (US & Canada)","en","D"
"senatorenzi",291756142,291756142,"Mike Enzi","SenatorEnzi","","Mike Enzi is Wyoming’s 20th U.S. Senator. His joy of representing Wyoming is topped by few things. (Being a grandfather and fly-fishing are two).","http://t.co/Vxn9wmrQ3U",10178,496,"Mon May 02 15:26:39 +0000 2011","Quito","en","R"
"senatorhagan",74171837,74171837,"Senator Kay Hagan","SenatorHagan","North Carolina","I'm proud to represent North Carolina in the U.S. Senate. I'm focused on bipartisan solutions to put people back to work and help our economy grow.","http://t.co/52yYyCnTAi",27869,189,"Mon Sep 14 14:44:07 +0000 2009","Quito","en","D"
"senatorharkin",115733549,115733549,"Tom Harkin","SenatorHarkin","Iowa","U.S. Senator from Iowa.  Chairman, Senate HELP Committee & the Appropriations Subcommittee on Health, Education, Labor.  For more info:  http://t.co/Z6EeatFGrp","http://t.co/YcvF8SFDTI",22533,174,"Fri Feb 19 18:47:20 +0000 2010","Eastern Time (US & Canada)","en","D"
"senatorisakson",78403308,78403308,"Johnny Isakson","SenatorIsakson","GA & DC","Official Page of U.S. Senator Johnny Isakson (R-Ga.)

      (Committees: Finance, HELP, Veterans' Affairs and Vice Chairman of Ethics)","http://t.co/n3mMYfmg5C",17615,428,"Tue Sep 29 20:09:30 +0000 2009","Eastern Time (US & Canada)","en","R"
"senatorkirk",211588974,211588974,"Mark Kirk","SenatorKirk","Highland Park, Illinois","I serve the people of the state of Illinois in the United States Senate. Please do not hesitate to contact me if you have any questions or need assistance.","http://t.co/kuHdy2AnYX",30960,1766,"Wed Nov 03 17:51:13 +0000 2010","Central Time (US & Canada)","en","R"
"senatorleahy",242836537,242836537,"Sen. Patrick Leahy","SenatorLeahy","Washington, DC","","http://t.co/yrKgLVIocD",25094,69,"Tue Jan 25 18:20:07 +0000 2011","Eastern Time (US & Canada)","en","D"
"senatormenendez",18695134,18695134,"Sen. Robert Menendez","SenatorMenendez","","Proudly serving the State of New Jersey in the United States Senate.","http://t.co/k4dLi6HYYJ",43440,583,"Tue Jan 06 21:01:12 +0000 2009","Eastern Time (US & Canada)","en","D"
"senatorreid",16789970,16789970,"Senator Harry Reid","SenatorReid","Searchlight, NV","News from the office of Nevada Senator Harry Reid, the U.S. Senate Majority Leader.(Español: @SenadorReid)","http://t.co/9t090b9Iex",238415,154,"Wed Oct 15 19:42:08 +0000 2008","Quito","en","D"
