"year","country","gdppc","doctors"
1965,"KOREA REP",1466.211,0.3726253
1970,"KOREA REP",2163.615,0.4512107
1975,"KOREA REP",2893.973,0.4545506
1980,"KOREA REP",3765.749,0.5918581
1981,"KOREA REP",3937.613,0.7188492
1982,"KOREA REP",4171.42,0.7212785
1986,"KOREA REP",5736.828,0.8657974
1988,"KOREA REP",6984.632,0.8777844
1989,"KOREA REP",7359.56,0.9383907
1990,"KOREA REP",7967.391,0.7999954
1991,"KOREA REP",8622.313,0.8999954
1992,"KOREA REP",9008.916,1
1993,"KOREA REP",9418.862,1
1994,"KOREA REP",10104.87,1.099993
1995,"KOREA REP",10873.6,1.100011
1996,"KOREA REP",11467.41,1.2
1997,"KOREA REP",11925.26,1.199996
1998,"KOREA REP",11022.33,1.3
1999,"KOREA REP",12086.23,0.7318921
1965,"KUWAIT",37850.39,1.26327
1970,"KUWAIT",31940.31,0.9543011
1980,"KUWAIT",16281.96,1.698182
1981,"KUWAIT",12489.24,1.411701
1982,"KUWAIT",10427.75,1.620416
1986,"KUWAIT",10719.28,1.565606
1995,"KUWAIT",16756.03,1.782334
1991,"KYRGYZSTAN",1356.983,3.387604
1992,"KYRGYZSTAN",1158.112,3.325395
1993,"KYRGYZSTAN",968.407,3.095212
1994,"KYRGYZSTAN",774.2589,3.073738
1995,"KYRGYZSTAN",724.3673,3.184383
1997,"KYRGYZSTAN",828.2352,3.09996
1999,"KYRGYZSTAN",851.5524,3.025531
1985,"LAOS",291.9356,0.7342793
1990,"LAOS",320.5404,0.2343169
1999,"LAOS",441.3249,0.1854141
1991,"LATVIA",3327.387,4.02832
1992,"LATVIA",2192.868,3.578051
1993,"LATVIA",1900.46,3.169439
1994,"LATVIA",1939.948,3.028092
1995,"LATVIA",1950.46,2.939352
1996,"LATVIA",2035.126,3.399855
1989,"LEBANON",1387.047,1.862383
1991,"LEBANON",2331.689,1.325893
1993,"LEBANON",2507.457,1.862223
1997,"LEBANON",2900.911,2.300068
1970,"LESOTHO",226.0532,0.0328947
1975,"LESOTHO",257.8914,0.0328559
1985,"LESOTHO",373.3506,0.0707733
1990,"LESOTHO",443.6752,0.0429733
1993,"LESOTHO",467.8743,0.0504248
1999,"LESOTHO",512.6815,0.0351544
1991,"LITHUANIA",2801.27,3.865313
1992,"LITHUANIA",2205.775,3.89364
1993,"LITHUANIA",1853.809,3.932976
1994,"LITHUANIA",1676.782,4.026606
1995,"LITHUANIA",1734.765,3.966891
1996,"LITHUANIA",1819.393,3.980318
1998,"LITHUANIA",2054.917,3.900081
1960,"LUXEMBOURG",15772.08,0.9653859
1970,"LUXEMBOURG",20655,1.06239
1981,"LUXEMBOURG",24648.26,1.353939
1985,"LUXEMBOURG",27933.85,1.805556
1989,"LUXEMBOURG",36320.26,1.970339
1990,"LUXEMBOURG",36685.96,2.000524
1991,"LUXEMBOURG",38418.26,1.999483
1992,"LUXEMBOURG",39580.29,2.099363
1993,"LUXEMBOURG",42423.91,2.099975
1994,"LUXEMBOURG",43581.16,2.199108
1995,"LUXEMBOURG",44602.79,2.200244
1996,"LUXEMBOURG",45222.77,2.300565
1997,"LUXEMBOURG",47820.79,2.400949
1998,"LUXEMBOURG",49619.53,3.000469
1999,"LUXEMBOURG",52675.27,3.099537
1991,"MACEDONIA",1477.192,2.341858
1992,"MACEDONIA",1350.197,2.370909
1993,"MACEDONIA",1328.126,2.342473
1994,"MACEDONIA",1295.394,2.313816
1995,"MACEDONIA",1268.576,2.29705
1975,"MADAGASCAR",364.4687,0.0963039
1981,"MADAGASCAR",302.3039,0.0994007
1985,"MADAGASCAR",277.1368,0.1008594
1990,"MADAGASCAR",276.1396,0.1196699
1995,"MADAGASCAR",237.5835,0.2717293
1996,"MADAGASCAR",235.3017,1.143134
1960,"MALAGASYR",382.6666,0.1145892
1965,"MALAGASYR",360.3351,0.0929661
1970,"MALAGASYR",402.5067,0.0972303
1965,"MALAWI",108.2023,0.0211321
1970,"MALAWI",120.6852,0.0130589
1981,"MALAWI",147.7237,0.0185485
1984,"MALAWI",151.2311,0.0880655
1989,"MALAWI",142.0597,0.0226373
1990,"MALAWI",145.0196,0.0218643
1993,"MALAWI",147.6225,0.0278248
1965,"MALAYSIA",1164.734,0.1612292
1970,"MALAYSIA",1370.656,0.2320096
1975,"MALAYSIA",1712.15,0.2334802
1980,"MALAYSIA",2297.115,0.2553222
1981,"MALAYSIA",2397.001,0.2551563
1985,"MALAYSIA",2586.655,0.3150475
1986,"MALAYSIA",2540.936,0.334634
1987,"MALAYSIA",2598.88,0.3483916
1988,"MALAYSIA",2772.022,0.3665922
1989,"MALAYSIA",2933.266,0.3738059
1990,"MALAYSIA",3104.033,0.3919371
1991,"MALAYSIA",3317.393,0.3927759
1992,"MALAYSIA",3523.359,0.4114058
1993,"MALAYSIA",3776.817,0.4310242
1994,"MALAYSIA",4023.35,0.4492306
1995,"MALAYSIA",4310.192,0.4780721
1996,"MALAYSIA",4624.783,0.495806
1989,"MALDIVE IS",811.4956,0.0724323
1990,"MALDIVE IS",917.2003,0.0704225
1993,"MALDIVE IS",1029.007,0.1908562
1970,"MALI",255.0835,0.0226804
1975,"MALI",271.0088,0.02337
1980,"MALI",305.3953,0.039302
1981,"MALI",285.8198,0.0384803
1985,"MALI",274.9881,0.0393829
1987,"MALI",246.5358,0.0425294
1988,"MALI",243.5061,0.0543993
1990,"MALI",252.4726,0.0514184
1995,"MALI",256.3578,0.0425156
1996,"MALI",258.3783,0.0625256
1970,"MALTA",1926.83,1.070552
1975,"MALTA",2995.635,1.109756
1982,"MALTA",4952.803,1.141388
1983,"MALTA",4987.113,1.156377
1989,"MALTA",6669.247,1.972634
1990,"MALTA",7018.966,2.258611
1991,"MALTA",7387.049,2.446184
1992,"MALTA",7656.513,2.42181
1993,"MALTA",7925.004,2.495202
1960,"MAURITANIA",293.8706,0.024218
1965,"MAURITANIA",449.4603,0.0273723
1970,"MAURITANIA",523.2748,0.0556921
1975,"MAURITANIA",478.3203,0.055434
1977,"MAURITANIA",485.2931,0.0687868
1984,"MAURITANIA",443.9836,0.0825788
1985,"MAURITANIA",445.2574,0.1132503
1990,"MAURITANIA",437.7073,0.0626851
1993,"MAURITANIA",443.1862,0.0635586
1970,"MAURITIUS",1190.337,0.2397094
1975,"MAURITIUS",1531.137,0.235426
1980,"MAURITIUS",1802.113,0.5207039
1981,"MAURITIUS",1882.532,0.55151
1985,"MAURITIUS",2151.453,0.5285433
1989,"MAURITIUS",2778.152,0.8580254
1990,"MAURITIUS",2955.047,0.8107852
1991,"MAURITIUS",3052.942,0.8353177
1992,"MAURITIUS",3199.393,0.8473635
1993,"MAURITIUS",3324.426,0.8441203
1994,"MAURITIUS",3409.614,0.8454627
1995,"MAURITIUS",3541.379,0.8636364
1960,"MEXICO",1639.026,0.5474895
1965,"MEXICO",1988.409,0.4990961
1970,"MEXICO",2295.245,0.6716143
1975,"MEXICO",2662.328,0.6987766
1981,"MEXICO",3486.265,0.8573082
1982,"MEXICO",3386.457,0.8380263
1986,"MEXICO",3050.654,0.5586211
1988,"MEXICO",3024.266,1.622655
1990,"MEXICO",3187.209,1.100005
1991,"MEXICO",3260.387,1.099995
1992,"MEXICO",3317.041,1.199999
1993,"MEXICO",3320.821,1.199996
1994,"MEXICO",3405.795,1.200001
1995,"MEXICO",3139.687,1.2
1996,"MEXICO",3250.625,1.199997
1997,"MEXICO",3420.645,1.299996
1998,"MEXICO",3539.863,1.600001
1993,"MICRONESIA",2021.283,0.4507594
1991,"MOLDOVA",1486.368,3.48211
1992,"MOLDOVA",1056.015,3.508619
1993,"MOLDOVA",1044.062,3.552898
1994,"MOLDOVA",721.447,3.562557
1995,"MOLDOVA",712.8222,3.512791
1996,"MOLDOVA",672.937,3.560462
1990,"MONGOLIA",524.3183,2.538461
1991,"MONGOLIA",467.8913,2.694791
1992,"MONGOLIA",416.6709,2.618027
1960,"MOROCCO",696.4019,0.1063134
1965,"MOROCCO",722.1516,0.0824889
1970,"MOROCCO",849.3577,0.0764206
1975,"MOROCCO",956.0568,0.0763363
1981,"MOROCCO",1059.219,0.0538861
1982,"MOROCCO",1135.567,0.0645437
1987,"MOROCCO",1185.824,0.2172121
1988,"MOROCCO",1282.132,0.214348
1993,"MOROCCO",1256.256,0.2143806
1994,"MOROCCO",1361.927,0.3628404
1997,"MOROCCO",1325.208,0.4
1980,"MOZAMBIQUE",165.8632,0.0255477
1981,"MOZAMBIQUE",169.5743,0.0270492
1982,"MOZAMBIQUE",153.8108,0.0263531
1985,"MOZAMBIQUE",115.2935,0.0206041
1989,"MOZAMBIQUE",143.5685,0.0276313
1991,"NAMIBIA",2001.416,0.2314247
1992,"NAMIBIA",2087.202,0.2315985
1960,"NEPAL",147.6552,0.0138184
1965,"NEPAL",150.5897,0.0219371
1970,"NEPAL",154.2951,0.0195109
1975,"NEPAL",149.3982,0.0195358
1980,"NEPAL",148.0639,0.0335908
1984,"NEPAL",159.7617,0.0309143
1985,"NEPAL",165.1985,0.0334485
1987,"NEPAL",166.7793,0.0496469
1988,"NEPAL",175.0473,0.0492812
1989,"NEPAL",178.0051,0.0519687
1990,"NEPAL",181.5673,0.0506606
1991,"NEPAL",188.299,0.0620663
1992,"NEPAL",191.1591,0.075718
1993,"NEPAL",193.6161,0.0736999
1995,"NEPAL",206.3166,0.0541557
1996,"NEPAL",212.0982,0.0395509
1997,"NEPAL",217.551,0.0395141
1998,"NEPAL",218.7851,0.0403919
1960,"NETHERLANDS",11999.48,1.115087
1965,"NETHERLANDS",14186.62,1.16283
1970,"NETHERLANDS",17321.13,1.249482
1981,"NETHERLANDS",21033.5,2.083316
1985,"NETHERLANDS",22131.36,2.221432
1990,"NETHERLANDS",24997.75,2.5
1991,"NETHERLANDS",25365.22,2.6
1960,"NEW ZEALAND",10356.29,1.180438
1965,"NEW ZEALAND",12153.36,1.219559
1970,"NEW ZEALAND",12466.81,1.146099
1980,"NEW ZEALAND",13968.59,1.56762
1981,"NEW ZEALAND",14497.52,1.628935
1982,"NEW ZEALAND",14602.73,1.637953
1986,"NEW ZEALAND",15720.87,1.753738
1990,"NEW ZEALAND",15033.8,1.900064
1991,"NEW ZEALAND",14674.63,1.900092
1992,"NEW ZEALAND",14691.74,2.000114
1993,"NEW ZEALAND",15440.76,2.000056
1994,"NEW ZEALAND",16055.52,1.999944
1995,"NEW ZEALAND",16418.72,2.100123
1996,"NEW ZEALAND",16587.91,2.100105
1997,"NEW ZEALAND",16696.17,2.199888
1998,"NEW ZEALAND",16564.45,2.200042
1999,"NEW ZEALAND",17210.08,2.300102
1960,"NICARAGUA",655.54,0.3398184
1965,"NICARAGUA",892.5876,0.3781095
1970,"NICARAGUA",917.1006,0.4526613
1975,"NICARAGUA",998.6564,0.4595677
1980,"NICARAGUA",690.2015,0.4156111
1981,"NICARAGUA",704.4247,0.4254656
1984,"NICARAGUA",654.9146,0.6369408
1988,"NICARAGUA",489.5289,0.4710391
1990,"NICARAGUA",459.5211,0.6571727
1995,"NICARAGUA",427.475,0.8199277
1997,"NICARAGUA",446.0555,0.8043556
1960,"NIGER",405.3276,0.0115588
1965,"NIGER",452.937,0.0155738
1970,"NIGER",388.1538,0.0165666
1975,"NIGER",297.864,0.0165584
1984,"NIGER",232.1078,0.0250164
1990,"NIGER",234.5069,0.0183676
1992,"NIGER",210.4648,0.027258
1994,"NIGER",207.3213,0.0225075
1996,"NIGER",205.404,0.0236545
1998,"NIGER",217.5224,0.0327223
1960,"NIGERIA",223.53,0.017148
1965,"NIGERIA",244.6688,0.0426095
1970,"NIGERIA",264.3954,0.0504181
1975,"NIGERIA",301.2091,0.0495093
1980,"NIGERIA",314.2374,0.1129617
1982,"NIGERIA",255.7175,0.1490486
1985,"NIGERIA",230.3202,0.192353
1986,"NIGERIA",229.1618,0.1866929
1989,"NIGERIA",245.7655,0.1920113
1993,"NIGERIA",261.1818,0.1920168
1960,"NORWAY",11256.4,1.104999
1965,"NORWAY",13574.38,1.265915
1970,"NORWAY",15669.19,1.38277
1980,"NORWAY",23594.51,1.909802
1981,"NORWAY",23769.25,2.173903
1984,"NORWAY",25849.38,2.216425
1985,"NORWAY",27112.87,2.434385
1990,"NORWAY",28840.22,3.100083
1991,"NORWAY",29598.01,2.599901
1992,"NORWAY",30388.93,2.600084
1993,"NORWAY",31034.55,2.599954
1994,"NORWAY",32553.22,2.700042
1995,"NORWAY",33624.25,2.8
1996,"NORWAY",35101.63,2.800046
1997,"NORWAY",36556.48,2.499943
1970,"OMAN",3124.885,0.1078838
1975,"OMAN",3516.461,0.107438
1980,"OMAN",3509.206,0.4668483
1982,"OMAN",4123.01,0.5491363
1985,"OMAN",5606.608,0.5232641
1987,"OMAN",5185.146,0.8334566
1989,"OMAN",5358.219,0.8830918
1990,"OMAN",5581.258,0.6109404
1993,"OMAN",5613.938,0.8840436
1960,"PAKISTAN",180.6577,0.1852959
1970,"PAKISTAN",274.478,0.2320029
1975,"PAKISTAN",274.0228,0.2325539
1980,"PAKISTAN",317.7734,0.2851917
1981,"PAKISTAN",333.4097,0.3437294
1982,"PAKISTAN",345.6995,0.3423184
1986,"PAKISTAN",395.3834,0.351419
1990,"PAKISTAN",447.8007,0.4617918
1991,"PAKISTAN",460.3921,0.479711
1992,"PAKISTAN",484.17,0.503091
1993,"PAKISTAN",481.228,0.5180938
1994,"PAKISTAN",487.5894,0.5953677
1999,"PAKISTAN",507.8308,0.3699236
1960,"PANAMA",1462.509,0.3561279
1965,"PANAMA",1876.085,0.4781274
1970,"PANAMA",2339.257,0.6135458
1975,"PANAMA",2571.907,0.5966338
1981,"PANAMA",2893.384,0.9930088
1984,"PANAMA",2808.524,1.020793
1985,"PANAMA",2887.293,1.005999
1988,"PANAMA",2392.605,1.793335
1990,"PANAMA",2523.304,1.640117
1993,"PANAMA",2975.453,1.779441
1995,"PANAMA",3004.979,1.685291
1999,"PANAMA",3245.559,1.399146
1975,"PAPUA NEW G",938.9719,0.0853793
1980,"PAPUA NEW G",873.5629,0.0622165
1981,"PAPUA NEW G",851.9855,0.0624315
1985,"PAPUA NEW G",838.4596,0.1656014
1990,"PAPUA NEW G",795.8359,0.0726752
1999,"PAPUA NEW G",1007.776,0.0593034
1960,"PARAGUAY",889.5812,0.533659
1965,"PARAGUAY",971.3322,0.5329168
1970,"PARAGUAY",1063.617,0.4353192
1975,"PARAGUAY",1301.448,0.4388868
1979,"PARAGUAY",1687.716,0.5632142
1981,"PARAGUAY",1978.052,0.578611
1984,"PARAGUAY",1745.182,0.700649
1985,"PARAGUAY",1760.291,0.6749792
1988,"PARAGUAY",1778.191,0.6397014
1990,"PARAGUAY",1822.385,0.6499171
1991,"PARAGUAY",1812.941,0.8127556
1994,"PARAGUAY",1827.43,0.2801424
1995,"PARAGUAY",1867.46,0.7299089
1997,"PARAGUAY",1842.021,1.098525
1999,"PARAGUAY",1726.568,0.5116779
1960,"PERU",1873.13,0.5096164
1965,"PERU",2189.092,0.6045173
1970,"PERU",2359.498,0.5207307
1975,"PERU",2619.391,0.5262846
1979,"PERU",2554.35,0.6918202
1980,"PERU",2566.376,0.71577
1981,"PERU",2682.889,0.7600671
1982,"PERU",2602.852,0.846251
1983,"PERU",2242.211,0.9016673
1984,"PERU",2305.411,0.9074844
1985,"PERU",2317.885,0.9285861
1986,"PERU",2495.334,0.9841101
1987,"PERU",2639.281,0.9834466
1988,"PERU",2361.407,0.9652457
1989,"PERU",2044.647,1.034823
1990,"PERU",1902.954,1.064537
1992,"PERU",1866.625,1.029994
1995,"PERU",2276.991,0.9799847
1997,"PERU",2405.226,0.9176891
1999,"PERU",2345.696,0.9100674
1960,"PHILIPPINES",711.3952,0.1432822
1970,"PHILIPPINES",844.5866,0.1079116
1975,"PHILIPPINES",973.7306,0.1098995
1980,"PHILIPPINES",1166.011,0.1274293
1981,"PHILIPPINES",1171.415,0.1483701
1984,"PHILIPPINES",1066.35,0.152125
1985,"PHILIPPINES",966.5225,0.1523926
1989,"PHILIPPINES",1088.256,0.1246821
1990,"PHILIPPINES",1097.213,0.1187075
1992,"PHILIPPINES",1043.682,0.1083985
1999,"PHILIPPINES",1137.798,0.097012
1990,"POLAND",2604.296,2.141752
1991,"POLAND",2414.042,2.168291
1992,"POLAND",2469.04,2.182319
1993,"POLAND",2556.58,2.219688
1994,"POLAND",2683.618,2.275657
1995,"POLAND",2868.198,2.317325
1996,"POLAND",3037.896,2.347791
1999,"POLAND",3536.32,2.112097
1960,"PORTUGAL",2737.291,0.7911127
1965,"PORTUGAL",3659.438,0.8064498
1970,"PORTUGAL",5015.722,0.9017934
1975,"PORTUGAL",6181.696,0.9423733
1981,"PORTUGAL",7435.856,2.024566
1985,"PORTUGAL",7525.274,2.460095
1987,"PORTUGAL",8351.51,2.081349
1990,"PORTUGAL",9948.75,2.80002
1991,"PORTUGAL",10209.49,2.89999
1992,"PORTUGAL",10468.51,2.89997
1993,"PORTUGAL",10337.73,2.90001
1994,"PORTUGAL",10546.95,2.90002
1995,"PORTUGAL",10820.22,3
1996,"PORTUGAL",11202.77,3
1997,"PORTUGAL",11601.91,3.10005
1998,"PORTUGAL",11976.14,3.10002
1999,"PORTUGAL",12309.49,2.773951
1965,"RHODESIA",462.2656,0.1222571
1970,"RHODESIA",606.7391,0.158365
1975,"RHODESIA",666.1324,0.1587799
1980,"ROMANIA",1595.776,1.475699
1981,"ROMANIA",1581.956,1.428578
1982,"ROMANIA",1636.885,1.634709
1985,"ROMANIA",1818.714,1.762376
1986,"ROMANIA",1854.198,1.753943
1987,"ROMANIA",1752.243,1.754664
1988,"ROMANIA",1734.857,1.765117
1989,"ROMANIA",1627.32,1.767407
1990,"ROMANIA",1530.871,1.801741
1991,"ROMANIA",1334.394,1.815915
1992,"ROMANIA",1238.39,1.8659
1993,"ROMANIA",1259.234,1.6951
1994,"ROMANIA",1310.254,1.764771
1995,"ROMANIA",1406.589,1.771218
1996,"ROMANIA",1466.316,1.809934
1999,"ROMANIA",1269.71,1.861832
1991,"RUSSIAN FED",3475.277,4.035277
1992,"RUSSIAN FED",2968.983,3.861839
1993,"RUSSIAN FED",2714.701,3.892951
1994,"RUSSIAN FED",2376.414,3.770831
1995,"RUSSIAN FED",2280.945,3.802411
1997,"RUSSIAN FED",2235.856,4.619997
1999,"RUSSIAN FED",2210.911,4.118092
1965,"RWANDA",214.2083,0.0138234
1970,"RWANDA",263.4893,0.0166309
1975,"RWANDA",233.4534,0.0166515
1980,"RWANDA",321.4418,0.0317645
1981,"RWANDA",328.1413,0.0309422
1983,"RWANDA",332.8792,0.0287383
1985,"RWANDA",311.6882,0.0269155
1989,"RWANDA",306.1649,0.0400527
1993,"RWANDA",254.8182,0.0400531
1960,"SA'U ARABIA",3767.721,0.0611043
1965,"SA'U ARABIA",5318.075,0.1064052
1970,"SA'U ARABIA",7044.192,0.1340296
1981,"SA'U ARABIA",11110.87,0.5496457
1986,"SA'U ARABIA",7456.561,1.345611
1990,"SA'U ARABIA",7102.927,1.433399
1993,"SA'U ARABIA",7330.591,1.335126
1997,"SA'U ARABIA",6936.991,1.699989
1999,"SA'U ARABIA",6718.413,1.121497
1989,"SAO TOME/PR",368.6327,0.5457636
1990,"SAO TOME/PR",364.6705,0.5304348
1992,"SAO TOME/PR",354.6201,0.3286231
1999,"SAO TOMEEPR",337.288,0.4199367
1960,"SENEGAL",670.3795,0.0439285
1965,"SENEGAL",649.8469,0.0512962
1970,"SENEGAL",620.9766,0.0632516
1975,"SENEGAL",603.8252,0.0613816
1981,"SENEGAL",530.2649,0.0788214
1982,"SENEGAL",594.6102,0.0766357
1990,"SENEGAL",566.4205,0.0548656
1992,"SENEGAL",549.2573,0.0676018
1994,"SENEGAL",524.3775,0.0955508
1995,"SENEGAL",537.288,0.0948379
1996,"SENEGAL",549.7053,0.0932569
1997,"SENEGAL",561.5393,0.0926699
1998,"SENEGAL",577.514,0.0950345
1999,"SENEGAL",590.9136,0.0432942
1983,"SEYCHELLES",4225.794,0.4068103
1985,"SEYCHELLES",4957.2,0.4451039
1991,"SEYCHELLES",6401.77,5.795053
1993,"SEYCHELLES",7088.948,1.031495
1965,"SIERRA LEO",250.453,0.0592837
1970,"SIERRA LEO",280.2415,0.0560994
1975,"SIERRA LEO",285.2691,0.0539065
1980,"SIERRA LEO",288.7627,0.0577874
1981,"SIERRA LEO",289.2326,0.0526998
1984,"SIERRA LEO",282.5275,0.0746264
1965,"SINGAPORE",3264.694,0.5281915
1970,"SINGAPORE",5433.28,0.6568674
1975,"SINGAPORE",7846.44,0.666814
1980,"SINGAPORE",11062.37,0.85087
1981,"SINGAPORE",11555.25,0.8768259
1985,"SINGAPORE",13179.81,0.9981725
1986,"SINGAPORE",13497.5,0.723015
1988,"SINGAPORE",15876.64,1.111033
1990,"SINGAPORE",17897.45,1.135278
1991,"SINGAPORE",18740.49,1.180583
1992,"SINGAPORE",19364.26,1.195091
1993,"SINGAPORE",21321.29,1.221233
1994,"SINGAPORE",23017.04,1.228597
1999,"SINGAPORE",26459.73,0.8793015
1993,"SLOVAK REP",3081.983,2.886038
1994,"SLOVAK REP",3219.953,2.816188
1995,"SLOVAK REP",3446.525,3.037509
1999,"SLOVAK REP",4074.743,2.887139
1991,"SLOVENIA",8783.838,2.075736
1992,"SLOVENIA",8330.736,2.08805
1993,"SLOVENIA",8693.755,2.05359
1994,"SLOVENIA",9052.802,2.190155
1995,"SLOVENIA",9418.757,2.118593
1999,"SLOVENIA",11128.12,2.070008
1965,"SO AFRICA",3449.514,0.4879488
1975,"SO AFRICA",4574.031,0.5386202
1978,"SO AFRICA",4277.986,0.5511601
1987,"SO AFRICA",4145.465,0.6125756
1992,"SO AFRICA",3821.841,0.6243537
1986,"SOLOMON IS",770.614,0.1359279
1989,"SOLOMON IS",797.0302,0.1515445
1992,"SOLOMON IS",829.6288,0.1571915
1960,"SPAIN",4620.366,1.171729
1965,"SPAIN",6619.341,1.249992
1970,"SPAIN",8507.086,1.342106
1981,"SPAIN",10857.78,2.771363
1982,"SPAIN",10966.75,2.760957
1984,"SPAIN",11273.77,3.170956
1988,"SPAIN",13002.41,3.60841
1990,"SPAIN",14075.16,3.800005
1991,"SPAIN",14364.82,3.89999
1992,"SPAIN",14430.16,4
1993,"SPAIN",14234.15,4.099992
1994,"SPAIN",14528.04,4.099992
1995,"SPAIN",14898.95,4.1
1996,"SPAIN",15224.04,4.200003
1999,"SPAIN",16988.79,3.744624
1975,"SRI LANKA",374.8174,0.1694576
1980,"SRI LANKA",443.563,0.1394355
1981,"SRI LANKA",461.0236,0.1338404
1982,"SRI LANKA",473.7634,0.1339785
1985,"SRI LANKA",525.5609,0.1812843
1986,"SRI LANKA",538.9237,0.1375566
1989,"SRI LANKA",551.1353,0.1461383
1993,"SRI LANKA",652.6205,0.1461277
1994,"SRI LANKA",680.0408,0.2302827
1984,"ST KITT/NEV",2825.515,0.4579803
1990,"ST KITT/NEV",4552.566,0.9041161
1995,"ST KITT/NEV",5625.122,1.073171
1997,"ST KITT/NEV",6427.162,1.175894
1999,"ST KITT/NEV",6675.81,0.9295499
1984,"ST VINCENT",1567.828,0.2663247
1990,"ST VINCENT",2167.871,0.45773
1991,"ST VINCENT",2162.035,0.1388889
1995,"ST VINCENT",2377.711,0.4594595
1997,"ST VINCENT",2521.479,0.8895214
1999,"ST VINCENT",2731.478,0.4295231
1984,"SURINAME",550.0942,0.790902
1970,"SWAZILAND",783.6973,0.124105
1983,"SWAZILAND",998.6567,0.0532464
1990,"SWAZILAND",1445.96,0.1077922
1999,"SWAZILAND",1394.107,0.0814149
1960,"SWEDEN",13389.92,0.9532086
1965,"SWEDEN",16667.72,1.098914
1970,"SWEDEN",19598.11,1.361432
1980,"SWEDEN",23021.79,2.202166
1981,"SWEDEN",22991.04,2.439063
1985,"SWEDEN",24969.11,2.586347
1988,"SWEDEN",26663.72,2.726411
1990,"SWEDEN",27271.75,2.899988
1991,"SWEDEN",26784.53,2.899947
1992,"SWEDEN",26249.59,2.899977
1993,"SWEDEN",25517.71,3.000023
1994,"SWEDEN",26380.26,2.999989
1995,"SWEDEN",27198.19,3.099989
1996,"SWEDEN",27454.09,3.099966
1999,"SWEDEN",29866,2.80229
1960,"SWITZERLAND",26244.92,1.347818
1965,"SWITZERLAND",30901.63,1.40847
1970,"SWITZERLAND",35490.5,1.418542
1985,"SWITZERLAND",41719.48,1.437094
1988,"SWITZERLAND",43375.34,1.724311
1990,"SWITZERLAND",45951.91,2.90003
1991,"SWITZERLAND",44994.21,3
1992,"SWITZERLAND",44447.03,3
1993,"SWITZERLAND",43831.34,3
1994,"SWITZERLAND",43711.95,3.099943
1995,"SWITZERLAND",43639.12,3.199972
1996,"SWITZERLAND",43573.86,3.200028
1998,"SWITZERLAND",44987.64,1.9
1999,"SWITZERLAND",45496.08,2.727719
1965,"SYRIA",573.5515,0.1851643
1970,"SYRIA",578.2535,0.2593895
1975,"SYRIA",907.0394,0.2563861
1980,"SYRIA",1071.405,0.4457721
1981,"SYRIA",1135.188,0.4629835
1986,"SYRIA",960.6885,0.8065515
1987,"SYRIA",950.8995,0.7833896
1989,"SYRIA",917.8094,0.863043
1990,"SYRIA",955.5658,0.8347639
1997,"SYRIA",1180.023,1.100026
1998,"SYRIA",1206.642,1.39998
1999,"SYRIA",1237.682,1.300016
1994,"TANZANIA",176.2259,0.0418505
1960,"THAILAND",465.9177,0.1289027
1965,"THAILAND",567.6292,0.1396821
1970,"THAILAND",753.7645,0.1206602
1975,"THAILAND",861.3906,0.1191276
1980,"THAILAND",1119.377,0.1469883
1981,"THAILAND",1161.361,0.1454636
1983,"THAILAND",1243.695,0.159523
1984,"THAILAND",1293.231,0.1599503
1985,"THAILAND",1333.013,0.1691237
1986,"THAILAND",1384.942,0.1821665
1987,"THAILAND",1492.454,0.1814427
1988,"THAILAND",1662.802,0.2097334
1989,"THAILAND",1833.693,0.2327594
1990,"THAILAND",2002.665,0.2252541
1991,"THAILAND",2140.977,0.2266269
1992,"THAILAND",2284.272,0.2336784
1993,"THAILAND",2449.767,0.2330572
1995,"THAILAND",2866.343,0.2387306
1996,"THAILAND",3017.382,0.3652493
1960,"TOGO",230.1991,0.0211361
1965,"TOGO",345.4735,0.043024
1970,"TOGO",383.2937,0.0346535
1975,"TOGO",406.6624,0.0345733
1980,"TOGO",449.1775,0.0531549
1981,"TOGO",422.0651,0.0468276
1984,"TOGO",372.1867,0.1147304
1986,"TOGO",376.0665,0.0843706
1991,"TOGO",356.3185,0.0877579
1994,"TOGO",304.2909,0.056391
1965,"TRINIDAD",2385.582,0.2622768
1970,"TRINIDAD",2761.681,0.4449022
1975,"TRINIDAD",3300.371,0.4535573
1980,"TRINIDAD",4613.515,0.7264326
1981,"TRINIDAD",4710.201,0.6730001
1984,"TRINIDAD",4997.229,1.043315
1990,"TRINIDAD",4093.552,0.7201646
1991,"TRINIDAD",4165.179,0.7315701
1993,"TRINIDAD",3976.084,0.6578419
1995,"TRINIDAD",4222.832,0.7900159
1997,"TRINIDAD",4465.047,0.8217634
1965,"TUNISIA",885.9825,0.125054
1970,"TUNISIA",1003.621,0.1685196
1975,"TUNISIA",1373.455,0.1694885
1980,"TUNISIA",1640.85,0.2706767
1981,"TUNISIA",1686.065,0.2745836
1986,"TUNISIA",1691.546,0.4607625
1990,"TUNISIA",1822.87,0.5283227
1991,"TUNISIA",1851.99,0.5368577
1992,"TUNISIA",1955.836,0.6453545
1993,"TUNISIA",1961.593,0.6506582
1994,"TUNISIA",1992.298,0.5673363
1995,"TUNISIA",2008.037,0.6631315
1997,"TUNISIA",2203.353,0.7000543
1970,"TURKEY",1633.109,0.4489114
1975,"TURKEY",1897.932,0.4551405
1980,"TURKEY",1958.612,0.608376
1981,"TURKEY",2001.055,0.6194783
